KEY_CODE,市区町村,年度,人口
8310,城里町,2009年,22073
8310,城里町,2010年,21491
8310,城里町,2011年,21235
8310,城里町,2012年,20926
8310,城里町,2013年,20548
8310,城里町,2014年,20334
8310,城里町,2015年,19800
8310,城里町,2016年,19459
8310,城里町,2017年,19099
8310,城里町,2018年,18763
8310,城里町,2019年,18429
8310,城里町,2020年,18097
8310,城里町,2021年,17774
8310,城里町,2022年,17564
8310,城里町,2023年,17253
8341,東海村,2002年,34885
8341,東海村,2003年,35136
8341,東海村,2004年,35384
8341,東海村,2005年,35450
8341,東海村,2006年,35926
8341,東海村,2007年,36239
8341,東海村,2008年,36506
8341,東海村,2009年,36951
8341,東海村,2010年,37438
8341,東海村,2011年,37821
8341,東海村,2012年,37829
8341,東海村,2013年,37983
8341,東海村,2014年,37942
8341,東海村,2015年,37713
8341,東海村,2016年,37683
8341,東海村,2017年,37702
8341,東海村,2018年,37616
8341,東海村,2019年,37702
8341,東海村,2020年,37891
8341,東海村,2021年,37920
8341,東海村,2022年,37891
8341,東海村,2023年,37837
8364,大子町,2002年,23321
8364,大子町,2003年,23026
8364,大子町,2004年,22672
8364,大子町,2005年,22103
8364,大子町,2006年,21641
8364,大子町,2007年,21146
8364,大子町,2008年,20730
8364,大子町,2009年,20312
8364,大子町,2010年,20073
8364,大子町,2011年,19662
8364,大子町,2012年,19245
8364,大子町,2013年,18789
8364,大子町,2014年,18384
8364,大子町,2015年,18053
8364,大子町,2016年,17581
8364,大子町,2017年,17181
8364,大子町,2018年,16682
8364,大子町,2019年,16142
8364,大子町,2020年,15736
8364,大子町,2021年,15268
8364,大子町,2022年,14932
8364,大子町,2023年,14435
8442,美浦村,2002年,18266
8442,美浦村,2003年,18329
8442,美浦村,2004年,18254
8442,美浦村,2005年,18118
8442,美浦村,2006年,17936
8442,美浦村,2007年,17782
8442,美浦村,2008年,17572
8442,美浦村,2009年,17428
8442,美浦村,2010年,17299
8442,美浦村,2011年,17069
8442,美浦村,2012年,16773
8442,美浦村,2013年,16446
8442,美浦村,2014年,16273
8442,美浦村,2015年,15842
8442,美浦村,2016年,15502
8442,美浦村,2017年,15175
8442,美浦村,2018年,14926
8442,美浦村,2019年,14612
8442,美浦村,2020年,14602
8442,美浦村,2021年,14306
8442,美浦村,2022年,14130
8442,美浦村,2023年,13964
8443,阿見町,2002年,47175
8443,阿見町,2003年,47303
8443,阿見町,2004年,47773
8443,阿見町,2005年,47994
8443,阿見町,2006年,47730
8443,阿見町,2007年,47725
8443,阿見町,2008年,47846
8443,阿見町,2009年,47792
8443,阿見町,2010年,47940
8443,阿見町,2011年,48011
8443,阿見町,2012年,47729
8443,阿見町,2013年,47707
8443,阿見町,2014年,47991
8443,阿見町,2015年,47535
8443,阿見町,2016年,47470
8443,阿見町,2017年,47415
8443,阿見町,2018年,47570
8443,阿見町,2019年,47755
8443,阿見町,2020年,48553
8443,阿見町,2021年,48942
8443,阿見町,2022年,49657
8443,阿見町,2023年,49979
8447,河内町,2002年,11309
8447,河内町,2003年,11197
8447,河内町,2004年,11079
8447,河内町,2005年,10959
8447,河内町,2006年,10785
8447,河内町,2007年,10611
8447,河内町,2008年,10431
8447,河内町,2009年,10259
8447,河内町,2010年,10172
8447,河内町,2011年,9996
8447,河内町,2012年,9797
8447,河内町,2013年,9563
8447,河内町,2014年,9342
8447,河内町,2015年,9168
8447,河内町,2016年,8943
8447,河内町,2017年,8821
8447,河内町,2018年,8640
8447,河内町,2019年,8448
8447,河内町,2020年,8231
8447,河内町,2021年,8022
8447,河内町,2022年,7825
8447,河内町,2023年,7587
8521,八千代町,2002年,24317
8521,八千代町,2003年,24261
8521,八千代町,2004年,24193
8521,八千代町,2005年,23609
8521,八千代町,2006年,23569
8521,八千代町,2007年,23526
8521,八千代町,2008年,23301
8521,八千代町,2009年,23069
8521,八千代町,2010年,23106
8521,八千代町,2011年,22906
8521,八千代町,2012年,22786
8521,八千代町,2013年,22519
8521,八千代町,2014年,22262
8521,八千代町,2015年,22021
8521,八千代町,2016年,21870
8521,八千代町,2017年,21809
8521,八千代町,2018年,21450
8521,八千代町,2019年,21214
8521,八千代町,2020年,21026
8521,八千代町,2021年,20646
8521,八千代町,2022年,20503
8521,八千代町,2023年,20362
8542,五霞町,2002年,10180
8542,五霞町,2003年,10064
